Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km
48,2018-08-02 00:45:28,13,28.500,80.800,1001.300,-3.64,0,4.893,0.137,6.100,80.800,84.104,85.432,86.318,87.076,87.578,87.862,88.086,88.504,88.393,88.350,87.995,87.182,85.855,85.047,84.646,84.526,84.071,83.435,82.221,81.604,81.347,80.836,79.804,78.946,77.753,76.023,72.890,69.403,64.953,60.810,57.163,54.007,51.392,49.364,48.400,47.974,47.773,47.331,46.894,45.842,45.024,45.126,45.999,46.791,47.185,45.839,43.731,41.040,38.463,35.960,33.250,30.133,26.752,23.714,21.193,19.000,17.112
49,2018-08-02 00:45:28,14,28.500,80.800,1001.300,-3.64,0,4.893,0.137,6.100,0.012,0.017,0.020,0.022,0.025,0.025,0.028,0.028,0.031,0.032,0.035,0.038,0.039,0.039,0.036,0.032,0.032,0.032,0.031,0.032,0.031,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.020,0.020,0.019,0.018,0.015,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
50,2018-08-02 00:49:21,11,28.500,80.800,1001.200,-3.06,0,4.923,0.133,5.975,28.500,27.892,27.426,26.958,26.517,26.135,25.790,25.437,25.007,24.697,24.255,23.662,23.019,22.521,21.996,21.480,20.884,20.291,19.682,19.268,18.802,18.274,17.699,17.136,16.688,16.053,15.105,13.927,12.790,11.776,10.717,9.656,8.468,7.192,5.892,4.486,3.153,1.861,0.591,-0.760,-1.976,-3.181,-4.541,-5.966,-7.348,-8.733,-9.873,-10.968,-12.055,-13.340,-14.751,-16.194,-17.495,-18.739,-20.076,-21.614,-23.294,-24.902
51,2018-08-02 00:49:21,12,28.500,80.800,1001.200,-3.06,0,4.923,0.133,5.975,22.761,23.102,22.964,22.674,22.396,22.120,21.815,21.493,21.160,20.831,20.378,19.724,18.927,18.173,17.536,16.989,16.435,15.849,15.239,14.664,14.154,13.679,13.150,12.568,12.093,11.439,10.528,9.387,8.330,7.299,6.363,5.572,4.868,4.261,3.756,3.352,3.028,2.755,2.500,2.255,2.022,1.819,1.650,1.512,1.384,1.255,1.116,0.974,0.835,0.707,0.590,0.485,0.392,0.312,0.246,0.191,0.148,0.115
52,2018-08-02 00:49:21,13,28.500,80.800,1001.200,-3.06,0,4.923,0.133,5.975,80.800,84.792,86.474,87.619,88.688,89.476,89.955,90.397,91.169,91.333,91.604,91.693,91.269,90.169,89.668,89.499,89.620,89.463,89.141,87.888,87.189,86.941,86.487,85.485,84.495,83.038,80.947,77.565,73.835,68.919,64.212,60.136,56.687,53.891,51.718,50.648,50.023,49.660,49.162,48.677,47.530,46.547,46.558,47.274,47.888,48.125,46.644,44.211,41.211,38.518,35.936,33.109,29.690,26.129,22.991,20.302,18.170,16.279
53,2018-08-02 00:49:21,14,28.500,80.800,1001.200,-3.06,0,4.923,0.133,5.975,0.012,0.017,0.020,0.021,0.025,0.025,0.028,0.028,0.031,0.031,0.034,0.037,0.038,0.038,0.035,0.031,0.031,0.031,0.030,0.031,0.030,0.028,0.026,0.026,0.022,0.024,0.021,0.021,0.019,0.019,0.018,0.017,0.015,0.016,0.014,0.014,0.014,0.012,0.012,0.012,0.012,0.011,0.010,0.009,0.009,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
54,2018-08-02 00:53:14,11,28.400,80.700,1001.100,-3.86,0,4.954,0.136,6.269,28.400,28.315,28.102,27.810,27.577,27.360,27.153,26.932,26.728,26.587,26.373,26.059,25.685,25.369,25.068,24.729,24.309,23.917,23.521,23.131,22.667,22.159,21.621,21.067,20.553,19.756,18.563,17.166,15.770,14.381,12.898,11.503,10.027,8.548,7.097,5.576,4.081,2.699,1.440,0.127,-1.113,-2.387,-3.749,-5.235,-6.705,-8.131,-9.242,-10.506,-11.789,-13.082,-14.546,-16.171,-17.765,-19.310,-21.039,-22.756,-24.510,-26.403
55,2018-08-02 00:53:14,12,28.400,80.700,1001.100,-3.86,0,4.954,0.136,6.269,22.609,22.942,22.804,22.515,22.237,21.961,21.656,21.336,21.006,20.680,20.229,19.579,18.790,18.049,17.420,16.877,16.327,15.746,15.145,14.576,14.069,13.599,13.076,12.503,12.036,11.393,10.493,9.370,8.330,7.315,6.388,5.600,4.901,4.297,3.792,3.386,3.059,2.781,2.524,2.275,2.042,1.836,1.665,1.522,1.393,1.261,1.121,0.977,0.838,0.709,0.591,0.486,0.393,0.313,0.246,0.192,0.148,0.116
56,2018-08-02 00:53:14,13,28.400,80.700,1001.100,-3.86,0,4.954,0.136,6.269,80.700,82.273,82.739,83.009,83.044,82.998,82.787,82.568,82.215,81.575,80.748,79.531,77.938,76.202,74.798,73.863,73.167,72.147,70.971,69.839,69.223,68.888,68.326,67.461,66.907,66.352,65.559,63.616,61.512,58.787,56.247,53.790,51.666,49.785,48.260,47.605,47.481,47.371,46.821,46.192,45.176,44.431,44.381,45.148,45.966,46.227,44.672,42.810,40.519,37.857,35.418,33.117,30.429,27.480,24.924,22.495,20.187,18.580
57,2018-08-02 00:53:14,14,28.400,80.700,1001.100,-3.86,0,4.954,0.136,6.269,0.012,0.017,0.020,0.022,0.025,0.025,0.028,0.028,0.031,0.032,0.035,0.038,0.039,0.039,0.036,0.032,0.032,0.032,0.031,0.032,0.031,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.020,0.020,0.019,0.018,0.016,0.016,0.015,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
58,2018-08-02 00:57:07,11,28.400,80.900,1001.100,-3.48,0,4.899,0.138,6.114,28.400,28.352,28.153,27.880,27.667,27.456,27.252,27.034,26.846,26.707,26.499,26.177,25.793,25.448,25.134,24.767,24.328,23.902,23.480,23.047,22.540,22.014,21.449,20.866,20.317,19.481,18.215,16.755,15.368,13.957,12.456,11.013,9.525,8.027,6.588,5.074,3.590,2.199,0.933,-0.363,-1.595,-2.859,-4.215,-5.724,-7.229,-8.673,-9.787,-11.092,-12.404,-13.715,-15.167,-16.786,-18.393,-19.985,-21.740,-23.440,-25.150,-27.066
59,2018-08-02 00:57:07,12,28.400,80.900,1001.100,-3.48,0,4.899,0.138,6.114,22.665,23.004,22.868,22.580,22.302,22.027,21.725,21.405,21.073,20.747,20.298,19.650,18.857,18.108,17.472,16.928,16.375,15.790,15.181,14.604,14.094,13.620,13.089,12.502,12.023,11.363,10.444,9.292,8.225,7.188,6.253,5.465,4.768,4.168,3.672,3.275,2.959,2.694,2.448,2.209,1.983,1.785,1.621,1.485,1.361,1.235,1.100,0.961,0.825,0.700,0.584,0.481,0.389,0.310,0.244,0.190,0.147,0.115
60,2018-08-02 00:57:07,13,28.400,80.900,1001.100,-3.48,0,4.899,0.138,6.114,80.901,82.325,82.736,82.929,82.875,82.808,82.598,82.369,81.940,81.296,80.458,79.297,77.745,76.114,74.744,73.929,73.304,72.411,71.307,70.311,69.854,69.574,69.074,68.244,67.763,67.255,66.614,64.662,62.235,59.286,56.587,54.131,51.890,49.944,48.302,47.589,47.469,47.461,47.026,46.392,45.390,44.656,44.667,45.636,46.703,47.173,45.667,44.029,41.826,39.269,36.761,34.437,31.703,28.782,26.225,23.602,21.201,19.535
61,2018-08-02 00:57:07,14,28.400,80.900,1001.100,-3.48,0,4.899,0.138,6.114,0.013,0.017,0.021,0.022,0.026,0.026,0.029,0.029,0.032,0.032,0.036,0.038,0.039,0.039,0.036,0.032,0.032,0.032,0.031,0.032,0.031,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.020,0.020,0.019,0.017,0.015,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
62,2018-08-02 01:01:00,11,28.500,80.800,1001.100,-3.45,0,4.905,0.137,6.038,28.500,28.241,27.944,27.604,27.310,27.042,26.787,26.521,26.247,26.046,25.747,25.325,24.837,24.419,24.013,23.572,23.053,22.546,22.037,21.585,21.064,20.523,19.933,19.341,18.806,18.022,16.838,15.456,14.164,12.895,11.551,10.236,8.866,7.447,6.070,4.599,3.175,1.815,0.552,-0.764,-1.991,-3.242,-4.600,-6.098,-7.562,-8.995,-10.120,-11.365,-12.607,-13.913,-15.341,-16.885,-18.383,-19.850,-21.443,-23.071,-24.756,-26.547
63,2018-08-02 01:01:00,12,28.500,80.800,1001.100,-3.45,0,4.905,0.137,6.038,22.761,23.106,22.972,22.684,22.407,22.132,21.831,21.511,21.178,20.852,20.403,19.754,18.960,18.206,17.566,17.022,16.469,15.883,15.270,14.689,14.177,13.701,13.165,12.571,12.087,11.418,10.490,9.326,8.245,7.197,6.253,5.461,4.760,4.158,3.660,3.264,2.951,2.687,2.443,2.205,1.980,1.782,1.619,1.484,1.362,1.237,1.103,0.964,0.827,0.701,0.585,0.481,0.389,0.310,0.244,0.190,0.147,0.115
64,2018-08-02 01:01:00,13,28.500,80.800,1001.100,-3.45,0,4.905,0.137,6.038,80.800,83.197,84.071,84.587,84.918,85.130,85.164,85.164,85.134,84.764,84.337,83.607,82.475,81.086,80.052,79.537,79.264,78.690,77.897,76.912,76.506,76.297,75.884,75.021,74.439,73.667,72.637,70.189,67.144,63.378,59.878,56.811,54.039,51.724,49.811,48.951,48.666,48.593,48.159,47.621,46.581,45.815,45.868,46.870,47.871,48.368,46.966,45.104,42.596,39.943,37.340,34.714,31.677,28.460,25.574,22.865,20.482,18.653
65,2018-08-02 01:01:00,14,28.500,80.800,1001.100,-3.45,0,4.905,0.137,6.038,0.012,0.017,0.020,0.022,0.026,0.025,0.028,0.028,0.031,0.032,0.035,0.038,0.039,0.039,0.036,0.032,0.032,0.032,0.031,0.032,0.031,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.020,0.020,0.019,0.017,0.015,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
66,2018-08-02 01:04:53,11,28.500,81.100,1001.100,-3.92,0,4.876,0.140,6.046,28.500,28.118,27.757,27.372,27.035,26.726,26.441,26.140,25.816,25.570,25.212,24.706,24.140,23.663,23.187,22.681,22.096,21.518,20.931,20.447,19.906,19.349,18.734,18.123,17.593,16.839,15.701,14.361,13.139,11.975,10.754,9.526,8.227,6.860,5.533,4.105,2.734,1.401,0.130,-1.203,-2.433,-3.668,-5.024,-6.510,-7.965,-9.392,-10.534,-11.746,-12.944,-14.242,-15.642,-17.143,-18.575,-19.972,-21.448,-23.013,-24.657,-26.378
67,2018-08-02 01:04:53,12,28.500,81.100,1001.100,-3.92,0,4.876,0.140,6.046,22.845,23.197,23.065,22.777,22.500,22.227,21.925,21.607,21.274,20.948,20.501,19.855,19.062,18.312,17.672,17.130,16.580,15.997,15.382,14.799,14.285,13.804,13.265,12.663,12.171,11.491,10.553,9.376,8.283,7.221,6.268,5.473,4.769,4.165,3.665,3.270,2.957,2.697,2.454,2.217,1.992,1.793,1.628,1.494,1.372,1.247,1.113,0.972,0.835,0.706,0.590,0.484,0.391,0.312,0.245,0.191,0.148,0.116
68,2018-08-02 01:04:53,13,28.500,81.100,1001.100,-3.92,0,4.876,0.140,6.046,81.100,84.089,85.284,86.027,86.577,87.002,87.190,87.375,87.599,87.452,87.320,87.006,86.247,85.124,84.405,84.215,84.297,84.086,83.651,82.779,82.466,82.340,82.042,81.211,80.552,79.564,78.255,75.439,71.849,67.341,63.109,59.563,56.408,53.822,51.665,50.673,50.244,50.159,49.812,49.355,48.356,47.501,47.566,48.606,49.695,50.246,48.871,46.839,44.104,41.290,38.514,35.672,32.349,28.940,25.692,22.873,20.447,18.539
69,2018-08-02 01:04:53,14,28.500,81.100,1001.100,-3.92,0,4.876,0.140,6.046,0.013,0.018,0.021,0.023,0.026,0.026,0.029,0.029,0.032,0.033,0.036,0.038,0.039,0.039,0.036,0.032,0.032,0.031,0.030,0.032,0.030,0.029,0.026,0.026,0.023,0.024,0.021,0.021,0.019,0.020,0.018,0.017,0.015,0.016,0.014,0.014,0.014,0.012,0.012,0.012,0.012,0.011,0.010,0.009,0.009,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
70,2018-08-02 01:08:46,11,28.400,81.400,1001.000,-1.21,0,4.884,0.148,5.662,28.400,28.070,27.735,27.359,27.039,26.746,26.480,26.197,25.901,25.682,25.368,24.917,24.416,24.011,23.605,23.175,22.664,22.172,21.663,21.242,20.763,20.236,19.672,19.096,18.599,17.863,16.769,15.455,14.172,12.963,11.697,10.470,9.130,7.749,6.378,4.927,3.526,2.197,0.928,-0.410,-1.645,-2.883,-4.237,-5.688,-7.123,-8.531,-9.666,-10.850,-12.037,-13.317,-14.735,-16.274,-17.725,-19.131,-20.648,-22.260,-23.950,-25.714
71,2018-08-02 01:08:46,12,28.400,81.400,1001.000,-1.21,0,4.884,0.148,5.662,22.805,23.144,23.006,22.716,22.436,22.158,21.853,21.529,21.192,20.860,20.404,19.749,18.947,18.189,17.547,17.002,16.445,15.854,15.238,14.655,14.143,13.665,13.131,12.537,12.053,11.389,10.464,9.301,8.227,7.183,6.243,5.453,4.755,4.156,3.660,3.265,2.950,2.686,2.440,2.202,1.977,1.780,1.617,1.481,1.357,1.231,1.097,0.959,0.823,0.698,0.583,0.480,0.388,0.309,0.243,0.190,0.147,0.114
72,2018-08-02 01:08:46,13,28.400,81.400,1001.000,-1.21,0,4.884,0.148,5.662,81.399,84.118,85.171,85.858,86.311,86.638,86.714,86.785,86.845,86.537,86.150,85.519,84.398,82.901,81.839,81.259,80.928,80.255,79.432,78.275,77.665,77.384,76.851,75.901,75.145,74.172,72.758,70.011,66.963,62.987,59.236,55.890,53.074,50.693,48.812,47.908,47.528,47.325,46.887,46.395,45.411,44.606,44.626,45.392,46.200,46.520,45.125,43.129,40.553,37.951,35.458,32.973,29.937,26.723,23.818,21.332,19.096,17.327
73,2018-08-02 01:08:46,14,28.400,81.400,1001.000,-1.21,0,4.884,0.148,5.662,0.015,0.020,0.023,0.025,0.029,0.029,0.032,0.032,0.035,0.035,0.039,0.041,0.042,0.042,0.039,0.034,0.034,0.034,0.033,0.034,0.032,0.031,0.029,0.029,0.025,0.026,0.023,0.023,0.021,0.021,0.019,0.018,0.016,0.016,0.015,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
74,2018-08-02 01:12:39,11,28.400,80.900,1001.000,17.09,0,4.914,0.147,2.283,28.400,28.289,28.057,27.766,27.535,27.310,27.092,26.855,26.645,26.482,26.240,25.871,25.436,25.037,24.669,24.245,23.751,23.265,22.784,22.305,21.753,21.201,20.600,19.988,19.418,18.570,17.281,15.812,14.473,13.104,11.647,10.225,8.781,7.304,5.908,4.425,2.975,1.587,0.322,-0.977,-2.210,-3.476,-4.825,-6.351,-7.861,-9.318,-10.437,-11.757,-13.072,-14.389,-15.812,-17.394,-18.978,-20.547,-22.242,-23.895,-25.567,-27.433
75,2018-08-02 01:12:39,12,28.400,80.900,1001.000,17.09,0,4.914,0.147,2.283,22.665,23.001,22.863,22.573,22.295,22.018,21.714,21.394,21.063,20.736,20.284,19.633,18.844,18.101,17.470,16.928,16.377,15.796,15.193,14.621,14.113,13.640,13.114,12.536,12.064,11.414,10.508,9.375,8.326,7.304,6.372,5.583,4.883,4.279,3.775,3.371,3.047,2.772,2.517,2.270,2.037,1.832,1.663,1.521,1.392,1.261,1.122,0.978,0.839,0.709,0.593,0.486,0.393,0.313,0.246,0.192,0.148,0.116
76,2018-08-02 01:12:39,13,28.400,80.900,1001.000,17.09,0,4.914,0.147,2.283,80.901,82.600,83.155,83.426,83.451,83.445,83.291,83.144,82.817,82.272,81.572,80.595,79.259,77.859,76.717,76.135,75.750,75.112,74.252,73.446,73.186,73.025,72.705,72.023,71.670,71.285,70.858,69.057,66.532,63.497,60.649,58.120,55.739,53.727,51.927,51.146,50.932,50.915,50.409,49.754,48.685,47.883,47.875,48.921,50.040,50.535,48.909,47.172,44.764,41.953,39.244,36.560,33.616,30.464,27.598,24.812,22.144,20.368
77,2018-08-02 01:12:39,14,28.400,80.900,1001.000,17.09,0,4.914,0.147,2.283,0.013,0.018,0.021,0.023,0.027,0.026,0.029,0.029,0.032,0.033,0.036,0.039,0.040,0.040,0.037,0.033,0.033,0.033,0.032,0.033,0.031,0.030,0.028,0.028,0.024,0.025,0.022,0.022,0.020,0.021,0.019,0.018,0.016,0.016,0.015,0.015,0.014,0.013,0.013,0.012,0.013,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
78,2018-08-02 01:16:33,11,28.500,81.200,1001.000,19.8,0,4.975,0.144,1.716,28.500,28.205,27.888,27.531,27.223,26.940,26.679,26.404,26.119,25.907,25.603,25.167,24.677,24.267,23.866,23.438,22.932,22.434,21.928,21.499,21.002,20.470,19.893,19.312,18.801,18.045,16.903,15.553,14.270,13.029,11.719,10.444,9.092,7.690,6.316,4.855,3.445,2.102,0.837,-0.483,-1.705,-2.938,-4.294,-5.761,-7.204,-8.616,-9.741,-10.952,-12.157,-13.451,-14.877,-16.413,-17.880,-19.316,-20.880,-22.504,-24.197,-25.981
79,2018-08-02 01:16:33,12,28.500,81.200,1001.000,19.8,0,4.975,0.144,1.716,22.874,23.224,23.089,22.801,22.524,22.248,21.945,21.625,21.294,20.967,20.516,19.868,19.080,18.337,17.707,17.171,16.627,16.050,15.442,14.866,14.354,13.875,13.341,12.748,12.262,11.591,10.667,9.512,8.439,7.390,6.439,5.640,4.931,4.319,3.810,3.405,3.083,2.810,2.556,2.308,2.072,1.865,1.693,1.551,1.421,1.289,1.148,1.000,0.857,0.724,0.603,0.494,0.399,0.318,0.250,0.194,0.151,0.118
80,2018-08-02 01:16:33,13,28.500,81.200,1001.000,19.8,0,4.975,0.144,1.716,81.200,83.786,84.762,85.365,85.772,86.059,86.122,86.173,86.212,85.898,85.490,84.838,83.748,82.374,81.371,80.847,80.580,80.030,79.271,78.227,77.741,77.506,77.079,76.207,75.539,74.681,73.575,71.169,68.279,64.541,61.015,57.907,55.177,52.888,51.023,50.206,49.930,49.835,49.408,48.879,47.795,46.918,46.913,47.787,48.663,49.014,47.480,45.353,42.597,39.803,37.047,34.333,31.194,27.942,25.001,22.249,20.051,18.216
81,2018-08-02 01:16:33,14,28.500,81.200,1001.000,19.8,0,4.975,0.144,1.716,0.014,0.019,0.023,0.025,0.028,0.028,0.031,0.031,0.034,0.035,0.038,0.041,0.042,0.042,0.039,0.034,0.035,0.034,0.033,0.034,0.033,0.031,0.029,0.029,0.025,0.026,0.023,0.023,0.021,0.022,0.020,0.018,0.016,0.017,0.015,0.015,0.015,0.013,0.013,0.012,0.013,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
82,2018-08-02 01:20:25,11,28.500,81.100,1001.000,-3.31,0,4.922,0.145,6.138,28.500,28.284,28.005,27.670,27.389,27.129,26.888,26.635,26.381,26.197,25.932,25.547,25.106,24.738,24.383,23.999,23.537,23.089,22.633,22.228,21.754,21.235,20.681,20.114,19.607,18.840,17.692,16.330,14.995,13.694,12.320,11.007,9.607,8.178,6.768,5.280,3.839,2.487,1.225,-0.095,-1.319,-2.561,-3.917,-5.381,-6.829,-8.237,-9.355,-10.572,-11.797,-13.084,-14.524,-16.093,-17.601,-19.074,-20.698,-22.357,-24.075,-25.907
83,2018-08-02 01:20:25,12,28.500,81.100,1001.000,-3.31,0,4.922,0.145,6.138,22.845,23.192,23.056,22.766,22.488,22.213,21.909,21.587,21.253,20.924,20.472,19.820,19.026,18.274,17.637,17.095,16.545,15.960,15.348,14.769,14.256,13.779,13.244,12.651,12.166,11.498,10.574,9.416,8.341,7.293,6.348,5.552,4.847,4.240,3.737,3.336,3.017,2.748,2.498,2.254,2.025,1.821,1.654,1.515,1.390,1.261,1.123,0.980,0.840,0.711,0.593,0.487,0.394,0.314,0.247,0.192,0.149,0.116
84,2018-08-02 01:20:25,13,28.500,81.100,1001.000,-3.31,0,4.922,0.145,6.138,81.100,83.308,84.097,84.585,84.855,85.028,84.991,84.926,84.801,84.347,83.752,82.848,81.518,79.935,78.708,77.967,77.460,76.654,75.661,74.518,73.922,73.622,73.078,72.152,71.479,70.673,69.572,67.218,64.563,61.134,57.933,55.010,52.480,50.308,48.588,47.824,47.589,47.482,47.023,46.472,45.448,44.611,44.620,45.418,46.287,46.594,45.136,43.160,40.642,37.971,35.478,32.979,30.103,27.037,24.320,21.741,19.572,17.782
85,2018-08-02 01:20:25,14,28.500,81.100,1001.000,-3.31,0,4.922,0.145,6.138,0.014,0.019,0.022,0.024,0.028,0.027,0.030,0.030,0.034,0.034,0.037,0.040,0.041,0.041,0.038,0.034,0.034,0.033,0.032,0.034,0.032,0.031,0.028,0.028,0.024,0.026,0.023,0.023,0.021,0.021,0.019,0.018,0.016,0.017,0.015,0.015,0.014,0.013,0.013,0.012,0.013,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
86,2018-08-02 01:24:18,11,28.400,81.000,1000.900,-2.93,0,4.985,0.150,6.002,28.400,28.057,27.716,27.339,27.015,26.717,26.445,26.161,25.860,25.637,25.317,24.859,24.349,23.933,23.522,23.089,22.575,22.074,21.562,21.139,20.654,20.125,19.555,18.977,18.478,17.743,16.645,15.334,14.063,12.857,11.595,10.370,9.041,7.662,6.297,4.846,3.452,2.123,0.860,-0.465,-1.689,-2.918,-4.272,-5.724,-7.161,-8.561,-9.687,-10.869,-12.054,-13.333,-14.752,-16.279,-17.719,-19.121,-20.642,-22.249,-23.933,-25.694
87,2018-08-02 01:24:18,12,28.400,81.000,1000.900,-2.93,0,4.985,0.150,6.002,22.693,23.032,22.894,22.605,22.327,22.051,21.745,21.427,21.099,20.773,20.321,19.673,18.892,18.162,17.541,17.006,16.464,15.891,15.295,14.730,14.223,13.750,13.227,12.653,12.184,11.538,10.637,9.519,8.483,7.467,6.533,5.741,5.034,4.422,3.910,3.497,3.164,2.880,2.616,2.360,2.117,1.903,1.726,1.577,1.441,1.304,1.158,1.007,0.862,0.728,0.607,0.497,0.401,0.319,0.251,0.195,0.151,0.118
88,2018-08-02 01:24:18,13,28.400,81.000,1000.900,-2.93,0,4.985,0.150,6.002,81.001,83.769,84.844,85.531,86.008,86.357,86.456,86.546,86.665,86.397,86.044,85.472,84.472,83.141,82.194,81.679,81.433,80.894,80.193,79.144,78.605,78.370,77.951,77.148,76.508,75.682,74.516,72.178,69.509,65.910,62.387,59.219,56.512,54.246,52.426,51.590,51.230,50.997,50.500,49.907,48.766,47.817,47.762,48.467,49.200,49.388,47.703,45.385,42.509,39.658,36.929,34.175,30.944,27.582,24.606,21.885,19.598,17.760
89,2018-08-02 01:24:18,14,28.400,81.000,1000.900,-2.93,0,4.985,0.150,6.002,0.014,0.019,0.022,0.024,0.028,0.028,0.031,0.031,0.034,0.035,0.038,0.041,0.042,0.042,0.039,0.035,0.035,0.035,0.034,0.035,0.033,0.032,0.029,0.030,0.026,0.027,0.024,0.024,0.022,0.022,0.020,0.019,0.017,0.017,0.016,0.015,0.015,0.013,0.014,0.013,0.013,0.012,0.010,0.010,0.010,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
90,2018-08-02 01:28:11,11,28.400,81.100,1000.900,-2.71,0,4.987,0.144,5.870,28.400,28.147,27.845,27.503,27.221,26.951,26.700,26.432,26.171,25.969,25.675,25.242,24.748,24.322,23.911,23.462,22.936,22.422,21.900,21.429,20.898,20.353,19.755,19.146,18.599,17.807,16.613,15.224,13.931,12.672,11.350,10.045,8.667,7.252,5.893,4.445,3.037,1.693,0.431,-0.887,-2.115,-3.353,-4.698,-6.183,-7.655,-9.076,-10.203,-11.447,-12.690,-13.974,-15.374,-16.915,-18.418,-19.888,-21.462,-23.069,-24.722,-26.514
91,2018-08-02 01:28:11,12,28.400,81.100,1000.900,-2.71,0,4.987,0.144,5.870,22.721,23.066,22.932,22.645,22.371,22.097,21.793,21.478,21.155,20.834,20.385,19.745,18.973,18.252,17.636,17.106,16.570,16.007,15.413,14.849,14.341,13.863,13.336,12.756,12.278,11.619,10.708,9.577,8.527,7.498,6.556,5.761,5.052,4.437,3.924,3.510,3.180,2.900,2.639,2.383,2.140,1.925,1.746,1.596,1.460,1.322,1.175,1.023,0.874,0.736,0.613,0.503,0.405,0.322,0.253,0.197,0.152,0.120
92,2018-08-02 01:28:11,13,28.400,81.100,1000.900,-2.71,0,4.987,0.144,5.870,81.101,83.483,84.383,84.913,85.200,85.421,85.427,85.455,85.399,85.056,84.603,83.955,82.948,81.735,80.836,80.429,80.284,79.870,79.250,78.455,78.142,77.970,77.671,77.000,76.550,75.926,75.154,73.101,70.443,66.952,63.571,60.668,58.085,55.891,54.020,53.187,52.937,52.885,52.460,51.907,50.807,49.875,49.804,50.702,51.682,52.014,50.347,48.161,45.291,42.171,39.193,36.343,33.099,29.677,26.580,23.721,21.131,19.428
93,2018-08-02 01:28:11,14,28.400,81.100,1000.900,-2.71,0,4.987,0.144,5.870,0.014,0.019,0.022,0.024,0.028,0.028,0.031,0.031,0.034,0.035,0.038,0.040,0.042,0.041,0.038,0.034,0.034,0.034,0.033,0.034,0.033,0.031,0.029,0.029,0.025,0.026,0.023,0.023,0.021,0.022,0.020,0.018,0.016,0.017,0.015,0.015,0.015,0.013,0.013,0.012,0.013,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
94,2018-08-02 01:32:04,11,28.400,81.300,1000.800,-2.35,0,5.025,0.153,5.766,28.400,28.127,27.818,27.475,27.191,26.922,26.669,26.399,26.131,25.926,25.621,25.177,24.668,24.230,23.806,23.342,22.798,22.270,21.733,21.253,20.709,20.158,19.547,18.930,18.372,17.574,16.369,14.980,13.702,12.457,11.141,9.836,8.467,7.056,5.713,4.269,2.862,1.519,0.266,-1.050,-2.272,-3.509,-4.857,-6.359,-7.827,-9.250,-10.375,-11.627,-12.877,-14.160,-15.554,-17.087,-18.595,-20.057,-21.620,-23.211,-24.857,-26.632
